SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2013,POPEST18PLUS2013,PCNT_POPEST18PLUS
10,0,0,0,United States,316128839,242542967,76.7
40,3,6,1,Alabama,4833722,3722241,77
40,4,9,2,Alaska,735132,547000,74.4
40,4,8,4,Arizona,6626624,5009810,75.6
40,3,7,5,Arkansas,2959373,2249507,76
40,4,9,6,California,38332521,29157644,76.1
40,4,8,8,Colorado,5268367,4030435,76.5
40,1,1,9,Connecticut,3596080,2810514,78.2
40,3,5,10,Delaware,925749,722191,78
40,3,5,11,District of Columbia,646449,534975,82.8
40,3,5,12,Florida,19552860,15526186,79.4
40,3,5,13,Georgia,9992167,7502458,75.1
40,4,9,15,Hawaii,1404054,1096788,78.1
40,4,8,16,Idaho,1612136,1184355,73.5
40,2,3,17,Illinois,12882135,9858828,76.5
40,2,3,18,Indiana,6570902,4984875,75.9
40,2,4,19,Iowa,3090416,2366384,76.6
40,2,4,20,Kansas,2893957,2169865,75
40,3,6,21,Kentucky,4395295,3381291,76.9
40,3,7,22,Louisiana,4625470,3512513,75.9
40,1,1,23,Maine,1328302,1067026,80.3
40,3,5,24,Maryland,5928814,4584292,77.3
40,1,1,25,Massachusetts,6692824,5298878,79.2
40,2,3,26,Michigan,9895622,7650421,77.3
40,2,4,27,Minnesota,5420380,4141269,76.4
40,3,6,28,Mississippi,2991207,2253775,75.3
40,2,4,29,Missouri,6044171,4646486,76.9
40,4,8,30,Montana,1015165,791184,77.9
40,2,4,31,Nebraska,1868516,1404168,75.1
40,4,8,32,Nevada,2790136,2128531,76.3
40,1,1,33,New Hampshire,1323459,1052337,79.5
40,1,2,34,New Jersey,8899339,6877222,77.3
40,4,8,35,New Mexico,2085287,1577747,75.7
40,1,2,36,New York,19651127,15411151,78.4
40,3,5,37,North Carolina,9848060,7562455,76.8
40,2,4,38,North Dakota,723393,560705,77.5
40,2,3,39,Ohio,11570808,8920978,77.1
40,3,7,40,Oklahoma,3850568,2903541,75.4
40,4,9,41,Oregon,3930065,3072459,78.2
40,1,2,42,Pennsylvania,12773801,10058156,78.7
40,1,1,44,Rhode Island,1051511,837524,79.6
40,3,5,45,South Carolina,4774839,3695041,77.4
40,2,4,46,South Dakota,844877,636918,75.4
40,3,6,47,Tennessee,6495978,5004401,77
40,3,7,48,Texas,26448193,19406207,73.4
40,4,8,49,Utah,2900872,2004283,69.1
40,1,1,50,Vermont,626630,503929,80.4
40,3,5,51,Virginia,8260405,6395870,77.4
40,4,9,53,Washington,6971406,5375611,77.1
40,3,5,54,West Virginia,1854304,1472626,79.4
40,2,3,55,Wisconsin,5742713,4434937,77.2
40,4,8,56,Wyoming,582658,444979,76.4
40,X,X,72,Puerto Rico Commonwealth,3615086,2801018,77.5
